;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;;;;
T1452;39;64;35;37;70;17;67;50;25;55;T1452;459;;
T1453;70;40;45;13;39;25;45;12;66;75;T1453;430;;
T1454;45;100;35;74;68;19;14;17;78;19;T1454;469;;
T1455;11;44;86;43;74;71;36;53;38;21;T1455;477;;
T1456;31;72;88;26;63;17;25;86;11;14;T1456;433;;
T1457;27;15;16;26;73;81;49;29;23;39;T1457;378;;
T1458;83;86;62;59;86;39;45;10;70;96;T1458;636;;
T1459;12;53;49;66;33;23;89;66;37;20;T1459;448;;
T1460;82;45;80;69;93;96;74;17;78;66;T1460;700;;
T1461;44;63;89;83;14;62;39;86;38;47;T1461;565;;
T1462;83;64;87;24;82;65;100;92;30;67;T1462;694;;
T1463;37;86;73;84;56;66;40;51;10;88;T1463;591;;
T1464;89;34;95;26;99;73;71;64;98;20;T1464;669;;
T1465;57;59;17;36;15;20;98;39;39;97;T1465;477;;
T1466;83;16;33;15;22;23;45;18;26;16;T1466;297;;
T1467;91;10;15;51;69;75;91;36;48;67;T1467;553;;
T1468;55;61;80;44;78;23;24;65;35;95;T1468;560;;
T1469;23;14;27;24;95;51;66;99;44;48;T1469;491;;
T1470;90;94;24;64;22;95;81;64;59;15;T1470;608;;
T1471;26;79;65;19;46;87;71;66;32;49;T1471;540;;
T1472;55;16;56;91;82;64;61;49;22;98;T1472;594;;
T1473;16;64;39;49;13;43;23;18;26;98;T1473;389;;
T1474;41;82;50;45;70;91;36;84;92;27;T1474;618;;
T1475;72;95;55;91;33;10;89;96;91;56;T1475;688;;
T1476;60;76;41;23;91;70;63;66;53;80;T1476;623;;
T1477;28;97;21;31;14;99;78;80;93;85;T1477;626;;
T1478;98;68;28;42;16;37;12;27;47;100;T1478;475;;
T1479;11;63;17;86;12;51;68;90;62;64;T1479;524;;
T1480;41;30;47;39;46;77;58;24;89;78;T1480;529;;
T1481;31;14;22;36;85;87;65;29;76;45;T1481;490;;
T1482;41;39;84;45;65;38;91;28;26;54;T1482;511;;
T1483;84;64;56;23;44;33;82;45;80;43;T1483;554;;
T1484;71;99;33;48;52;24;28;59;27;22;T1484;463;;
T1485;44;63;59;84;14;46;74;62;85;68;T1485;599;;
T1486;77;77;89;27;49;15;55;68;17;82;T1486;556;;
T1487;51;11;57;45;26;100;58;94;61;62;T1487;565;;
T1488;60;14;53;71;69;60;26;26;23;66;T1488;468;;
T1489;50;51;21;78;41;72;81;96;33;37;T1489;560;;
T1490;70;41;10;39;61;88;30;26;30;40;T1490;435;;
T1491;82;57;85;95;63;89;54;35;36;20;T1491;616;;
T1492;42;84;65;61;32;73;79;10;79;94;T1492;619;;
T1493;97;39;82;18;83;64;91;54;21;74;T1493;623;;
T1494;86;40;46;30;81;92;73;72;32;40;T1494;592;;
T1495;33;77;96;40;41;50;82;44;37;50;T1495;550;;
T1496;63;66;85;86;82;37;82;83;42;19;T1496;645;;
T1497;33;99;92;36;14;16;52;36;26;55;T1497;459;;
T1498;73;39;84;86;13;27;44;26;49;41;T1498;482;;
T1499;19;96;22;97;32;31;67;16;63;100;T1499;543;;
T1500;81;29;80;91;92;79;28;67;85;79;T1500;711;;
T1501;14;10;65;80;98;95;83;22;33;29;T1501;529;;
T1502;24;73;53;48;48;88;94;96;85;28;T1502;637;;
T1503;50;82;89;43;52;25;21;67;12;34;T1503;475;;
T1504;44;94;21;75;83;94;40;79;45;50;T1504;625;;
T1505;53;68;96;88;12;23;85;61;32;24;T1505;542;;
T1506;15;29;14;46;97;16;92;91;34;26;T1506;460;;
T1507;81;92;93;21;73;36;93;88;21;22;T1507;620;;
T1508;67;44;14;88;45;51;40;72;10;17;T1508;448;;
T1509;74;60;87;18;54;46;73;38;94;54;T1509;598;;
T1510;55;45;33;63;24;71;88;73;20;17;T1510;489;;
T1511;39;73;98;91;53;32;72;66;36;68;T1511;628;;
T1512;52;75;96;95;65;61;12;27;79;28;T1512;590;;
T1513;75;26;37;19;34;94;24;70;100;69;T1513;548;;
T1514;13;94;67;41;51;53;60;61;83;64;T1514;587;;
T1515;39;98;71;78;16;23;79;94;96;49;T1515;643;;
T1516;47;61;33;90;32;74;26;74;64;46;T1516;547;;
T1517;41;17;90;10;49;98;24;80;99;100;T1517;608;;
T1518;16;22;52;82;92;73;87;39;100;32;T1518;595;;
T1519;97;60;85;52;31;68;40;30;63;69;T1519;595;;
T1520;34;61;70;46;23;35;34;78;37;78;T1520;496;;
T1521;85;18;62;52;90;93;31;74;37;60;T1521;602;;
T1522;11;42;86;40;32;79;81;32;89;75;T1522;567;;
T1523;16;99;37;90;73;73;41;56;28;76;T1523;589;;
T1524;33;33;54;80;96;26;20;24;29;14;T1524;409;;
T1525;84;18;28;48;27;67;80;12;98;26;T1525;488;;
T1526;72;13;10;50;46;54;91;46;60;63;T1526;505;;
T1527;46;52;61;82;98;29;13;16;82;34;T1527;513;;
T1528;80;90;57;32;43;18;65;71;15;10;T1528;481;;
T1529;84;18;97;90;52;31;86;44;96;66;T1529;664;;
T1530;72;38;32;13;81;87;74;62;55;32;T1530;546;;
T1531;46;49;23;40;66;32;66;28;66;52;T1531;468;;
T1532;58;11;91;69;80;34;92;51;60;99;T1532;645;;
T1533;73;16;22;55;50;52;16;39;66;24;T1533;413;;
T1534;10;46;65;11;84;73;88;57;18;40;T1534;492;;
T1535;88;18;40;56;59;89;89;98;97;95;T1535;729;;
T1536;22;11;79;96;76;78;53;90;18;19;T1536;542;;
T1537;30;21;12;31;47;10;97;94;82;45;T1537;469;;
T1538;35;80;13;26;28;98;29;26;58;14;T1538;407;;
T1539;58;78;55;84;41;69;48;46;81;96;T1539;656;;
T1540;98;52;19;44;72;35;10;56;78;84;T1540;548;;
T1541;16;91;16;22;76;15;88;66;69;62;T1541;521;;
T1542;87;49;24;12;73;85;66;85;84;86;T1542;651;;
T1543;10;92;98;46;30;30;94;80;47;13;T1543;540;;
T1544;64;53;36;18;32;29;91;64;58;83;T1544;528;;
T1545;69;73;87;86;34;93;35;86;25;64;T1545;652;;
T1546;64;15;73;40;44;89;42;25;87;46;T1546;525;;
T1547;64;27;28;51;96;18;10;85;86;89;T1547;554;;
T1548;14;35;37;93;21;47;14;44;48;59;T1548;412;;
T1549;71;88;43;27;92;75;41;67;36;74;T1549;614;;
T1550;61;25;78;98;73;51;76;68;31;80;T1550;641;;
T1551;70;12;36;77;66;71;43;56;87;50;T1551;568;;
T1552;49;20;54;95;14;82;53;77;22;20;T1552;486;;
T1553;23;17;40;82;88;75;57;89;73;66;T1553;610;;
T1554;81;18;79;34;44;60;16;13;13;25;T1554;383;;
T1555;12;20;36;38;63;50;77;46;47;68;T1555;457;;
T1556;99;16;86;74;74;48;81;43;97;35;T1556;653;;
T1557;28;23;14;14;43;72;95;41;30;96;T1557;456;;
T1558;39;53;52;40;71;78;85;86;15;39;T1558;558;;
T1559;18;15;13;10;84;85;47;64;11;39;T1559;386;;
T1560;53;63;88;62;41;50;53;52;21;76;T1560;559;;
T1561;64;10;51;18;90;78;45;92;30;61;T1561;539;;
T1562;25;85;38;100;95;69;37;95;69;32;T1562;645;;
T1563;19;91;87;85;85;62;42;53;24;48;T1563;596;;
T1564;32;81;32;15;67;96;59;80;81;11;T1564;554;;
T1565;23;18;71;66;23;98;71;31;59;47;T1565;507;;
T1566;70;12;53;19;68;35;80;98;39;84;T1566;558;;
T1567;100;55;54;93;40;35;80;20;22;38;T1567;537;;
T1568;38;42;45;76;14;34;19;35;33;57;T1568;393;;
T1569;78;79;81;12;14;95;56;35;47;17;T1569;514;;
T1570;100;63;43;56;74;36;54;24;11;10;T1570;471;;
T1571;12;67;90;38;24;63;33;50;95;68;T1571;540;;
T1572;10;65;66;50;46;17;48;76;33;43;T1572;454;;
T1573;72;65;60;46;97;22;14;29;56;10;T1573;471;;
T1574;55;91;28;48;81;47;58;95;44;24;T1574;571;;
T1575;66;23;50;67;10;50;45;14;77;95;T1575;497;;
T1576;40;22;61;53;81;72;56;25;42;18;T1576;470;;
T1577;72;89;81;36;25;55;34;81;60;51;T1577;584;;
T1578;80;73;37;85;61;86;36;13;53;44;T1578;568;;
T1579;12;84;34;97;72;42;33;44;35;66;T1579;519;;
T1580;30;34;69;44;99;99;13;27;18;69;T1580;502;;
T1581;75;94;58;29;99;74;34;51;18;41;T1581;573;;
T1582;36;23;16;73;47;91;97;92;55;100;T1582;630;;
T1583;63;36;86;60;88;86;20;30;57;71;T1583;597;;
T1584;68;31;11;81;88;26;51;83;25;43;T1584;507;;
T1585;30;31;78;76;35;85;22;34;95;58;T1585;544;;
T1586;40;90;51;53;27;26;47;39;62;54;T1586;489;;
T1587;89;86;32;22;62;15;96;76;91;77;T1587;646;;
T1588;74;24;12;42;89;91;68;37;32;58;T1588;527;;
T1589;55;35;67;88;15;76;21;53;94;56;T1589;560;;
T1590;29;79;30;93;73;87;24;12;26;27;T1590;480;;
T1591;21;87;47;86;61;16;89;94;89;95;T1591;685;;
T1592;73;81;80;81;49;82;80;70;47;99;T1592;742;;
T1593;25;92;99;15;87;36;86;46;15;51;T1593;552;;
T1594;83;43;42;49;57;62;67;78;26;91;T1594;598;;
T1595;22;35;49;22;19;16;63;16;97;77;T1595;416;;
T1596;56;19;55;71;73;23;15;19;55;79;T1596;465;;
T1597;98;71;42;43;66;25;30;52;84;98;T1597;609;;
T1598;22;23;14;95;10;11;48;43;19;60;T1598;345;;
T1599;59;78;37;79;12;84;79;20;26;35;T1599;509;;
T1600;40;53;37;55;24;87;92;23;91;92;T1600;594;;
T1601;76;35;86;56;22;96;39;41;98;15;T1601;564;;
T1602;37;27;43;22;73;52;48;13;89;33;T1602;437;;
T1603;84;11;17;61;89;82;15;76;52;34;T1603;521;;
T1604;28;43;57;94;40;36;52;25;69;61;T1604;505;;
T1605;49;70;95;37;98;38;72;89;77;100;T1605;725;;
T1606;18;81;23;19;64;74;30;55;46;85;T1606;495;;
T1607;77;99;75;65;69;97;95;51;54;30;T1607;712;;
T1608;54;39;29;80;100;51;84;38;81;96;T1608;652;;
T1609;36;84;28;13;42;73;84;66;30;36;T1609;492;;
T1610;60;25;28;84;74;68;81;86;26;31;T1610;563;;
T1611;90;98;68;62;37;25;86;95;16;49;T1611;626;;
T1612;78;63;92;36;95;47;14;71;91;70;T1612;657;;
T1613;51;12;24;21;19;21;58;88;25;65;T1613;384;;
T1614;29;65;42;43;57;78;43;99;43;27;T1614;526;;
T1615;22;23;98;31;100;43;24;49;31;76;T1615;497;;
T1616;66;62;26;12;20;21;41;83;35;80;T1616;446;;
T1617;12;39;12;62;75;64;45;82;67;81;T1617;539;;
T1618;41;33;42;34;67;42;44;46;82;35;T1618;466;;
T1619;84;60;59;35;69;50;66;80;97;86;T1619;686;;
T1620;39;26;56;23;76;81;92;43;78;65;T1620;579;;
T1621;92;39;55;24;47;53;28;60;77;98;T1621;573;;
T1622;91;52;79;23;88;78;35;97;49;24;T1622;616;;
T1623;41;13;54;62;39;43;86;64;86;69;T1623;557;;
T1624;20;25;40;34;57;15;47;87;50;35;T1624;410;;
T1625;42;94;91;75;79;66;84;31;29;36;T1625;627;;
T1626;100;21;77;18;30;71;62;37;58;23;T1626;497;;
T1627;29;17;93;28;72;60;88;54;61;81;T1627;583;;
T1628;49;11;61;87;36;54;25;21;94;89;T1628;527;;
T1629;23;31;99;94;80;48;52;26;42;71;T1629;566;;
T1630;65;98;75;55;79;61;93;74;97;91;T1630;788;;
T1631;29;36;64;77;46;57;47;80;17;82;T1631;535;;
T1632;98;72;15;81;65;12;19;40;19;53;T1632;474;;
T1633;75;57;81;18;91;27;62;77;70;14;T1633;572;;
T1634;67;57;67;98;85;26;38;72;77;54;T1634;641;;
T1635;54;33;93;91;72;79;49;31;73;67;T1635;642;;
T1636;66;87;68;34;56;26;60;35;13;51;T1636;496;;
T1637;67;55;73;92;74;36;48;73;69;76;T1637;663;;
T1638;80;19;87;73;62;21;21;27;67;73;T1638;530;;
T1639;61;40;46;74;61;20;48;80;31;71;T1639;532;;
T1640;96;78;65;72;43;17;70;23;96;18;T1640;578;;
T1641;12;24;89;34;13;60;30;77;57;45;T1641;441;;
T1642;51;19;69;40;58;78;82;30;32;16;T1642;475;;
T1643;14;66;67;79;86;67;74;34;58;66;T1643;611;;
T1644;11;84;32;12;94;27;71;87;30;71;T1644;519;;
T1645;61;13;86;34;37;46;18;65;65;21;T1645;446;;
T1646;43;80;13;88;58;54;47;54;53;51;T1646;541;;
T1647;78;61;27;81;17;51;38;19;86;86;T1647;544;;
T1648;51;55;32;98;54;27;15;68;23;25;T1648;448;;
T1649;25;12;91;82;25;95;78;92;46;30;T1649;576;;
T1650;54;36;91;32;16;88;45;34;75;95;T1650;566;;
T1651;87;99;26;69;15;79;90;62;30;16;T1651;573;;
T1652;97;80;60;88;42;95;68;75;74;93;T1652;772;;
T1653;56;56;25;10;85;42;92;74;38;81;T1653;559;;
T1654;19;84;18;12;66;41;72;18;42;62;T1654;434;;
T1655;21;88;40;18;21;77;70;10;99;55;T1655;499;;
T1656;87;70;80;32;49;12;31;91;62;12;T1656;526;;
T1657;79;73;42;57;97;52;46;25;56;71;T1657;598;;
T1658;95;92;66;28;86;67;90;13;51;92;T1658;680;;
T1659;52;94;10;36;95;81;84;55;76;52;T1659;635;;
T1660;47;78;19;75;46;47;98;20;46;24;T1660;500;;
T1661;36;26;59;12;50;80;43;46;70;81;T1661;503;;
T1662;65;85;69;77;75;21;25;20;39;29;T1662;505;;
T1663;81;23;49;68;28;23;64;83;73;48;T1663;540;;
T1664;45;57;90;50;26;70;90;41;23;85;T1664;577;;
T1665;22;80;38;86;24;50;51;77;42;69;T1665;539;;
T1666;17;34;52;65;100;63;47;38;19;24;T1666;459;;
T1667;11;31;76;37;36;66;90;51;48;72;T1667;518;;
T1668;51;36;13;85;25;44;77;31;85;100;T1668;547;;
T1669;56;59;30;23;19;82;80;80;67;62;T1669;558;;
T1670;33;86;71;50;59;10;59;74;39;77;T1670;558;;
T1671;87;42;83;28;16;44;86;60;11;38;T1671;495;;
T1672;93;20;97;10;34;90;41;78;98;62;T1672;623;;
T1673;73;29;95;59;95;67;74;42;45;85;T1673;664;;
T1674;36;32;60;22;31;31;12;62;23;43;T1674;352;;
T1675;74;92;87;61;40;25;73;25;92;58;T1675;627;;
T1676;52;10;53;17;51;46;70;94;91;61;T1676;545;;
T1677;84;36;52;68;53;89;56;21;21;36;T1677;516;;
T1678;29;49;92;84;87;94;43;79;58;64;T1678;679;;
T1679;88;84;17;10;82;25;35;11;54;21;T1679;427;;
T1680;13;97;27;49;81;63;50;68;95;91;T1680;634;;
T1681;34;85;49;73;99;96;38;26;50;26;T1681;576;;
T1682;21;67;59;42;31;25;20;46;54;70;T1682;435;;
T1683;59;27;17;22;16;85;74;73;96;29;T1683;498;;
T1684;65;36;89;52;75;68;57;93;15;16;T1684;566;;
T1685;84;13;20;35;26;79;64;88;88;28;T1685;525;;
T1686;95;91;84;48;31;99;11;18;75;65;T1686;617;;
T1687;45;79;74;18;37;20;51;23;32;28;T1687;407;;
T1688;63;66;18;42;83;14;79;41;41;49;T1688;496;;
T1689;55;96;44;91;24;61;19;66;74;55;T1689;585;;
T1690;37;18;98;100;38;76;86;28;98;81;T1690;660;;
T1691;29;73;47;96;59;100;94;46;57;65;T1691;666;;
T1692;73;30;92;37;51;34;67;20;70;23;T1692;497;;
T1693;49;64;80;25;84;57;44;46;30;28;T1693;507;;
T1694;39;25;18;99;91;57;93;89;24;16;T1694;551;;
T1695;16;55;59;34;37;31;93;25;43;57;T1695;450;;
T1696;93;81;15;99;85;58;97;47;67;48;T1696;690;;
T1697;95;85;88;34;15;48;94;36;95;69;T1697;659;;
T1698;29;63;14;77;51;37;20;80;57;74;T1698;502;;
T1699;74;33;34;34;49;30;23;22;89;18;T1699;406;;
T1700;15;72;40;85;78;89;57;89;52;48;T1700;625;;
T1701;28;68;17;14;86;63;50;39;74;37;T1701;476;;
T1702;84;69;41;18;88;91;24;68;98;56;T1702;637;;
T1703;97;46;63;33;14;84;94;36;86;53;T1703;606;;
T1704;66;26;24;88;70;57;77;18;93;78;T1704;597;;
T1705;26;65;92;86;37;72;16;43;87;10;T1705;534;;
T1706;26;83;51;20;94;84;24;62;76;16;T1706;536;;
T1707;86;83;30;88;12;100;33;13;85;95;T1707;625;;
T1708;26;96;40;62;52;33;45;82;97;94;T1708;627;;
T1709;40;69;92;20;70;29;53;18;65;72;T1709;528;;
T1710;51;95;87;57;73;53;64;88;74;91;T1710;733;;
T1711;79;52;76;72;51;97;77;30;48;63;T1711;645;;
T1712;95;40;90;30;72;16;93;33;63;50;T1712;582;;
T1713;65;15;74;44;52;93;39;58;69;71;T1713;580;;
T1714;10;54;73;24;26;35;25;39;65;85;T1714;436;;
T1715;11;26;27;83;86;69;56;50;46;50;T1715;504;;
T1716;37;17;57;37;33;81;92;12;15;22;T1716;403;;
T1717;41;59;45;25;29;11;50;89;23;97;T1717;469;;
T1718;98;95;74;77;14;99;100;43;95;83;T1718;778;;
T1719;24;50;95;81;50;35;25;14;55;48;T1719;477;;
T1720;94;33;49;33;66;36;32;88;81;37;T1720;549;;
T1721;33;55;90;39;68;84;88;53;100;68;T1721;678;;
T1722;13;86;60;22;27;96;86;23;12;47;T1722;472;;
T1723;81;41;16;59;93;24;71;25;92;44;T1723;546;;
T1724;67;91;100;76;61;95;24;52;37;63;T1724;666;;
T1725;95;58;72;89;90;94;71;83;25;22;T1725;699;;
T1726;20;86;85;48;67;33;19;77;64;26;T1726;525;;
T1727;11;81;31;89;94;32;31;84;88;41;T1727;582;;
T1728;92;95;11;47;85;94;48;27;66;38;T1728;603;;
T1729;49;28;28;35;74;99;64;67;40;58;T1729;542;;
T1730;78;69;61;14;16;85;42;92;46;65;T1730;568;;
T1731;37;60;23;98;67;76;73;77;33;71;T1731;615;;
T1732;76;91;90;99;98;29;13;13;88;57;T1732;654;;
T1733;20;96;55;100;48;45;33;82;28;59;T1733;566;;
T1734;67;55;77;53;53;96;58;34;85;59;T1734;637;;
T1735;89;65;83;50;70;67;16;33;17;55;T1735;545;;
T1736;82;49;18;75;11;28;40;99;30;14;T1736;446;;
T1737;69;87;66;10;39;97;71;99;82;67;T1737;687;;
T1738;63;99;16;69;97;34;88;96;92;33;T1738;687;;
T1739;14;58;36;68;23;86;28;41;54;66;T1739;474;;
T1740;87;62;10;20;27;36;27;42;61;77;T1740;449;;
T1741;89;70;94;88;26;97;53;44;91;98;T1741;750;;
T1742;87;25;91;79;59;52;89;41;23;62;T1742;608;;
T1743;51;78;53;41;95;45;98;39;64;73;T1743;637;;
T1744;18;66;66;86;11;49;19;59;14;78;T1744;466;;
T1745;85;27;57;40;69;53;65;72;85;66;T1745;619;;
T1746;59;22;61;65;22;13;55;52;91;52;T1746;492;;
T1747;72;48;44;55;85;36;43;78;24;50;T1747;535;;
T1748;75;66;52;94;43;10;95;14;50;63;T1748;562;;
T1749;18;57;21;18;73;59;35;76;30;69;T1749;456;;
T1750;94;81;97;31;47;34;79;89;85;20;T1750;657;;
T1751;51;50;17;99;40;88;60;88;19;23;T1751;535;;
T1752;78;82;53;45;80;64;66;68;97;99;T1752;732;;
T1753;46;10;62;20;90;46;39;41;18;95;T1753;467;;
T1754;97;93;31;21;22;15;93;63;78;22;T1754;535;;
T1755;57;91;54;98;54;70;100;59;76;25;T1755;684;;
T1756;57;66;36;23;90;73;16;12;25;16;T1756;414;;
T1757;44;80;49;74;19;71;100;12;78;89;T1757;616;;
T1758;28;29;33;16;27;22;41;49;89;80;T1758;414;;
T1759;87;37;51;73;75;100;10;36;41;86;T1759;596;;
T1760;92;63;42;10;42;36;83;64;18;13;T1760;463;;
T1761;74;76;81;54;64;31;94;85;25;93;T1761;677;;
T1762;76;92;30;74;27;70;82;94;48;74;T1762;667;;
T1763;42;29;23;22;51;75;85;77;36;23;T1763;463;;
T1764;81;67;83;12;15;52;56;17;67;70;T1764;520;;
T1765;14;58;12;61;52;86;74;63;35;42;T1765;497;;
T1766;67;31;57;86;39;61;55;86;33;17;T1766;532;;
T1767;68;82;92;10;23;19;72;16;92;24;T1767;498;;
T1768;27;12;74;21;73;49;16;69;10;16;T1768;367;;
T1769;26;93;61;29;28;50;68;82;98;19;T1769;554;;
T1770;12;47;40;19;88;83;62;33;35;72;T1770;491;;
T1771;65;29;75;28;35;29;30;28;42;17;T1771;378;;
T1772;33;25;33;48;30;34;52;62;30;31;T1772;378;;
T1773;39;63;64;25;30;57;19;29;28;63;T1773;417;;
T1774;97;36;49;33;13;87;11;64;49;65;T1774;504;;
T1775;69;76;40;35;98;77;59;88;54;93;T1775;689;;
T1776;76;91;65;74;68;20;16;84;57;11;T1776;562;;
T1777;35;92;60;62;97;34;24;97;59;39;T1777;599;;
T1778;28;43;81;14;27;78;99;25;42;100;T1778;537;;
T1779;27;46;79;47;47;36;25;80;97;46;T1779;530;;
T1780;94;89;50;13;94;58;32;28;37;58;T1780;553;;
T1781;35;14;62;67;12;15;46;19;58;38;T1781;366;;
T1782;93;52;17;63;90;69;69;94;11;27;T1782;585;;
T1783;41;13;57;24;53;29;67;24;99;71;T1783;478;;
T1784;29;35;34;17;97;32;91;63;100;71;T1784;569;;
T1785;54;57;89;48;84;55;82;88;56;36;T1785;649;;
T1786;28;72;66;38;81;77;58;61;13;58;T1786;552;;
T1787;51;72;60;17;95;66;73;50;88;37;T1787;609;;
T1788;16;54;56;71;19;70;49;20;35;53;T1788;443;;
T1789;33;91;22;45;75;11;39;85;63;40;T1789;504;;
T1790;100;95;11;42;11;29;98;76;60;34;T1790;556;;
T1791;63;83;83;34;68;78;42;36;54;39;T1791;580;;
T1792;67;55;46;75;66;30;56;46;26;56;T1792;523;;
T1793;75;46;73;49;17;40;65;40;85;21;T1793;511;;
T1794;79;98;95;30;66;77;68;32;47;45;T1794;637;;
T1795;46;71;45;98;55;86;22;81;39;62;T1795;605;;
T1796;40;81;82;32;81;13;15;62;24;37;T1796;467;;
T1797;97;32;91;46;90;79;31;42;27;37;T1797;572;;
T1798;20;30;64;82;62;80;24;60;61;87;T1798;570;;
T1799;88;58;45;95;34;92;17;34;23;17;T1799;503;;
T1800;41;42;49;13;57;27;13;38;10;41;T1800;331;;
T1801;40;41;50;80;88;28;62;82;23;79;T1801;573;;
T1802;77;90;84;30;50;98;38;59;11;74;T1802;611;;
T1803;35;53;71;11;92;10;18;90;57;55;T1803;492;;
T1804;70;32;87;94;31;32;94;18;30;52;T1804;540;;
T1805;16;83;50;16;17;12;99;63;21;88;T1805;465;;
T1806;48;44;45;68;79;39;10;12;15;49;T1806;409;;
T1807;94;21;82;27;52;20;80;78;50;58;T1807;562;;
T1808;73;51;32;65;83;77;82;87;11;20;T1808;581;;
T1809;58;63;63;74;64;69;45;82;20;33;T1809;571;;
T1810;15;35;92;41;43;99;58;83;61;14;T1810;541;;
T1811;11;47;78;39;77;86;83;24;82;81;T1811;608;;
T1812;72;47;13;93;100;15;58;49;67;56;T1812;570;;
T1813;60;11;83;73;16;77;35;14;78;64;T1813;511;;
T1814;33;65;72;99;41;22;44;16;44;28;T1814;464;;
T1815;93;76;63;28;28;79;81;10;29;17;T1815;504;;
T1816;14;61;63;25;68;56;15;72;75;24;T1816;473;;
T1817;36;28;58;52;44;37;100;67;14;88;T1817;524;;
T1818;39;74;52;74;38;14;10;36;80;77;T1818;494;;
T1819;86;92;50;76;39;73;17;74;76;91;T1819;674;;
T1820;75;20;40;21;91;42;13;26;42;51;T1820;421;;
T1821;94;24;37;61;16;16;48;21;91;19;T1821;427;;
T1822;47;58;37;31;90;87;52;77;57;26;T1822;562;;
T1823;20;27;74;22;44;39;79;66;31;66;T1823;468;;
T1824;24;81;44;14;44;74;91;23;18;30;T1824;443;;
T1825;99;68;63;49;86;32;22;15;63;36;T1825;533;;
T1826;41;88;40;69;57;58;32;61;11;23;T1826;480;;
T1827;65;43;78;24;37;80;62;56;84;64;T1827;593;;
T1828;38;88;44;42;45;78;100;92;81;61;T1828;669;;
T1829;33;43;78;57;45;46;48;75;87;61;T1829;573;;
T1830;43;57;48;45;97;13;77;19;75;50;T1830;524;;
T1831;82;27;97;40;50;21;84;60;71;64;T1831;596;;
T1832;66;80;57;71;50;78;34;52;65;79;T1832;632;;
T1833;67;34;28;77;94;97;59;58;70;85;T1833;669;;
T1834;30;17;51;95;100;18;35;65;47;29;T1834;487;;
T1835;14;88;93;18;71;76;21;93;15;29;T1835;518;;
T1836;56;17;52;14;19;49;16;83;53;20;T1836;379;;
T1837;57;44;99;97;85;70;49;52;18;29;T1837;600;;
T1838;64;23;15;62;87;18;57;11;21;42;T1838;400;;
T1839;35;17;54;62;99;66;55;96;100;23;T1839;607;;
T1840;75;50;34;97;90;71;13;54;80;79;T1840;643;;
T1841;27;89;31;93;37;56;63;36;93;83;T1841;608;;
T1842;57;67;65;95;47;49;11;19;59;88;T1842;557;;
T1843;39;24;40;63;57;28;91;26;16;47;T1843;431;;
T1844;61;51;73;31;88;69;58;18;28;15;T1844;492;;
T1845;44;24;64;43;68;25;69;71;17;29;T1845;454;;
T1846;86;69;89;60;13;98;13;47;14;15;T1846;504;;
T1847;18;70;94;80;68;75;98;22;38;14;T1847;577;;
T1848;11;83;44;10;57;29;90;82;10;12;T1848;428;;
T1849;40;68;20;33;36;90;77;77;76;73;T1849;590;;
T1850;94;24;36;52;62;52;36;72;42;45;T1850;515;;
T1851;44;20;82;14;35;91;82;87;12;24;T1851;491;;
T1852;33;82;44;70;14;68;81;24;83;78;T1852;577;;
T1853;52;61;28;72;25;57;100;82;14;72;T1853;563;;
T1854;94;58;61;54;38;15;62;91;41;89;T1854;603;;
T1855;56;42;68;78;96;44;99;47;51;90;T1855;671;;
T1856;13;25;13;100;47;70;38;11;35;50;T1856;402;;
T1857;69;64;24;21;12;27;51;70;85;77;T1857;500;;
T1858;36;83;36;86;32;84;22;27;13;12;T1858;431;;
T1859;56;64;29;73;42;43;66;46;28;94;T1859;541;;
T1860;64;85;84;36;96;18;18;99;94;73;T1860;667;;
T1861;40;61;25;38;24;45;24;52;74;81;T1861;464;;
T1862;68;43;68;10;80;16;35;66;40;63;T1862;489;;
T1863;60;77;94;70;72;60;74;13;28;26;T1863;574;;
T1864;76;79;38;19;42;86;54;15;39;63;T1864;511;;
T1865;59;16;87;94;74;51;15;27;49;78;T1865;550;;
T1866;71;97;22;21;65;85;60;15;35;92;T1866;563;;
T1867;83;41;14;31;26;62;33;27;85;78;T1867;480;;
T1868;42;86;84;69;70;35;39;74;91;32;T1868;622;;
T1869;74;67;74;89;17;74;87;74;98;26;T1869;680;;
T1870;96;79;58;41;29;61;55;89;52;94;T1870;654;;
T1871;89;73;39;75;38;76;76;75;98;91;T1871;730;;
T1872;75;80;93;32;66;23;82;79;24;73;T1872;627;;
T1873;14;100;69;88;80;34;45;33;91;99;T1873;653;;
T1874;86;91;61;27;62;33;39;75;94;34;T1874;602;;
T1875;85;36;50;20;44;52;47;82;10;63;T1875;489;;
T1876;96;43;78;68;70;54;49;98;24;83;T1876;663;;
T1877;22;96;93;93;28;31;39;63;72;71;T1877;608;;
T1878;33;62;82;23;42;47;41;58;77;94;T1878;559;;
T1879;11;36;47;77;27;97;22;25;75;80;T1879;497;;
T1880;19;14;41;50;48;75;100;10;57;89;T1880;503;;
T1881;10;75;67;35;91;87;55;44;64;48;T1881;576;;
T1882;76;91;83;39;14;39;85;39;93;80;T1882;639;;
T1883;65;36;66;51;96;92;60;33;20;16;T1883;535;;
T1884;87;54;37;81;22;34;98;16;47;67;T1884;543;;
T1885;89;91;37;28;47;86;63;63;38;30;T1885;572;;
T1886;73;87;66;98;45;89;54;71;24;64;T1886;671;;
T1887;78;10;53;54;66;73;49;46;15;73;T1887;517;;
